Date,Global_Factor_filtered,Facilitating_filtered,Other_filtered,Restrictive_filtered,Remaining_others_filtered,G20_filtered,Non_G20_filtered,GDP_weighted_filtered
Jan 2010,,,,,,,,
Feb 2010,,,,,,,,
Mar 2010,-0.667126448801439,-1.20101950202832,-0.57223884866893,-1.27126060343503,-1.42307049821221,-1.15402146248042,-0.200901660174644,-2.04717086061008
Apr 2010,-0.772443686395206,-1.05274717222984,-0.723350735866191,-1.36828432728898,-1.72346683315916,-1.27709735739744,-0.397104979234475,-2.04277353721004
May 2010,-0.790457855131773,-0.66916850621132,-0.867709376320719,-1.25354844934178,-2.18309405894709,-1.22496238773802,-0.474178820618021,-1.81899479422847
Jun 2010,-0.457267508237564,0.082701394940722,-1.12838463170989,-1.06608002804836,-2.63940092674627,-1.18573013652154,-0.549003812325157,-1.69062508751116
Jul 2010,-0.640050120017424,0.235783088087392,-1.34524644212399,-1.03245807547873,-2.89458506084604,-1.96631994930582,-0.512218108209873,-2.46313132408291
Aug 2010,-0.711774036258186,-0.00174461186623723,-1.34299235144965,-0.927367951412532,-2.94035245740306,-1.89406664015484,-0.73376530512125,-2.04651369776645
Sep 2010,-0.987323315113388,-0.74588307330688,-1.13559229880401,-0.986640157490974,-2.6241096964593,-1.78617360319456,-0.849979515211801,-1.92812091208112
Oct 2010,-1.1142359650936,-1.20868816749677,-1.0524465624403,-0.988204779167056,-2.61726238912602,-1.4484258507934,-0.861761892369792,-1.72025051580577
Nov 2010,-1.38895567518109,-1.29486676002249,-1.38156460252529,-1.2796422582969,-2.90124127801314,-2.00932106682139,-0.523725771582095,-2.43841540190795
Dec 2010,-1.22617117176398,-0.920983885682681,-1.44250759231263,-1.22284484524668,-3.29422256075319,-2.04540263100669,-0.214004146767937,-2.27609639357143
Jan 2011,-1.07627196491083,-0.406361671991462,-1.66651874541882,-1.36270287948993,-3.63293197575103,-2.03963673085307,-0.25432531322924,-2.03439523483237
Feb 2011,-0.862133119743521,-0.266516427058203,-1.36190387164305,-1.0529358446629,-3.7376406910625,-1.59133741230983,-0.486713699088167,-1.411954693361
Mar 2011,-0.905768968191083,-0.348331337688942,-1.27892940358506,-0.832576134850933,-3.88487104821184,-1.56146561752545,-0.533631032952881,-1.06648798795076
Apr 2011,-1.07214984598419,-0.510249402300076,-1.38860006565367,-1.09621946678759,-3.85194141225149,-1.68841002923839,-0.613599808565014,-1.03361414006905
May 2011,-1.28292160479993,-0.697474110214086,-1.53002985756104,-1.45558627658129,-3.63992483204606,-2.00606928510688,-0.604217185500647,-1.52992909839642
Jun 2011,-1.39131504239935,-0.730020379250593,-1.70838074079459,-1.60331585906307,-3.50998520092874,-2.169857803859,-0.671448576289449,-1.91460784309882
Jul 2011,-1.36560141340251,-0.630031747021784,-1.6799106789132,-1.06932469308533,-3.59585464309312,-1.56249314962357,-0.926412903991276,-1.66720532053146
Aug 2011,-1.07182547229214,-0.184602586143996,-1.80560415805636,-0.82177471153999,-3.62500476123645,-1.77258677394654,-0.75950916498512,-1.97931514305993
Sep 2011,-0.894025805227136,-0.0956788687595666,-1.66621842561095,-0.709451751689647,-3.51090550515011,-1.66282228784312,-0.783288539640014,-1.7789622397852
Oct 2011,-0.847258769987156,-0.379570343135012,-1.53558653937912,-0.949520880345288,-3.25407760846759,-2.00755886051509,-0.669041722886512,-1.78093655018019
Nov 2011,-1.2098131265057,-1.12957485677517,-1.42030119012342,-1.30062953711049,-3.22311858584552,-2.03051646269629,-0.81254281584346,-1.34143818689156
Dec 2011,-1.8286069001187,-1.75583738489511,-2.02388167663994,-2.0593161252014,-3.47696921758934,-2.63268146217822,-0.915539620572186,-1.89031705406267
Jan 2012,-2.62087443362067,-2.47463969575207,-2.65635108625339,-2.62945244592336,-3.75814756956885,-3.59782979167884,-1.0927618818921,-2.9965188810311
Feb 2012,-2.85467182655378,-2.96092750859821,-2.84869752289452,-2.84998144637002,-3.58034646909992,-3.32205794305998,-1.46518810579293,-2.93902117467372
Mar 2012,-2.65106015643151,-3.16572488821932,-2.44986631594837,-2.44428615236943,-3.4922851763217,-2.70299540236255,-1.99619087200504,-2.10909656449318
Apr 2012,-2.3249934213279,-3.1772045671784,-2.04994109800878,-2.00817379513238,-3.37978622971926,-2.02401828607297,-2.22711865416034,-1.16282335809066
May 2012,-2.30215200924566,-3.11958447834628,-1.97440844458725,-1.70588374174464,-3.51886946464023,-1.9662891286148,-2.36159879181721,-1.39362502169997
Jun 2012,-2.21121612165167,-3.17240035321327,-1.71228331029041,-1.75574906091234,-3.03004650849125,-2.00949465866903,-1.93589031009389,-1.82907455706815
Jul 2012,-2.20527761332752,-2.80551809774751,-2.00151344302975,-2.57055979590632,-2.69036250481446,-1.92625384664134,-1.57509646779938,-2.20626283458483
Aug 2012,-2.49835835084452,-2.4837105623026,-2.47564986882754,-3.54890485259684,-2.43639083282065,-2.31575708772374,-1.29409419345187,-2.66585948546619
Sep 2012,-2.70149948187161,-1.96951784562583,-2.98492623385158,-4.07024822052965,-2.45659772120004,-2.97325313019985,-1.12841416277026,-3.08196833824199
Oct 2012,-2.32178996954652,-1.51983811667795,-2.59536274851951,-3.46055697589536,-2.23796449560579,-2.84085208674909,-1.01433822900147,-2.67320797616422
Nov 2012,-1.45431225419984,-0.89872422665083,-1.8429579422858,-2.41239700140906,-1.90260240864104,-2.13672476165992,-0.746813004174599,-1.76256700255927
Dec 2012,-0.686657146998423,-0.474523127762281,-0.988781706399183,-1.54490046530455,-1.41641533352737,-0.976522204120323,-0.496395563875122,-0.94248834814303
Jan 2013,-0.375363609366466,-0.318632686413213,-0.496337313803142,-1.06090884212992,-1.05190773279408,-0.748027237045105,-0.198552966041542,-0.77167726308486
Feb 2013,-0.288283530281659,-0.207141655197734,-0.361064341461298,-0.731010755363097,-0.934728859886639,-0.668348627204089,0.0460030133895716,-0.679345985097468
Mar 2013,-0.381952954871156,-0.170391123636356,-0.428755226406293,-0.671040228130711,-0.840751435691465,-1.02211643015509,0.289357209014299,-0.904039048819096
Apr 2013,-0.241073725700405,0.0352661248279758,-0.399753224706416,-0.521549970845737,-1.03666391212046,-1.02194718772153,0.451286470683348,-1.02548155601944
May 2013,0.0990550798161071,0.238747668862185,-0.0630337214257125,-0.235454360125624,-0.958480342008105,-0.786815416422672,0.728192106584779,-1.05280372554961
Jun 2013,0.108133295305678,0.537663394361099,-0.360754693079558,-0.412056697055978,-1.14351434423467,-0.618071966912801,0.727790991141716,-0.840132075159353
Jul 2013,-0.0764787754527496,0.526448370640104,-0.641028839469159,-0.726187721452512,-1.06394642942271,-0.550002372555704,0.589151681161434,-0.748778637676717
Aug 2013,-0.388244306552576,0.390366026242958,-1.04908639090763,-1.0277988716963,-1.16447457856477,-0.732250966413871,0.328803566771215,-0.808642384806685
Sep 2013,-0.584793538849596,0.014957344586042,-1.08311036709123,-1.05074890855012,-1.26662847047495,-0.993764575935905,0.0964936715870636,-1.12023824760699
Oct 2013,-0.737917584307465,-0.25091012189478,-1.18238356180512,-1.00229601883858,-1.44112948186695,-1.56532757845472,0.06561844957984,-1.55676346024039
Nov 2013,-0.811326154086548,-0.565394504164048,-1.03959160669068,-0.874288765877814,-1.50002276895373,-1.69457714167105,0.107056013548018,-1.5788477535633
Dec 2013,-0.797029447961598,-0.637142749546725,-0.97518905267114,-0.610933707930498,-1.59938944970957,-1.63821691409892,0.150306947110023,-1.34803462176498
Jan 2014,-0.505356314206762,-0.636970390624668,-0.573678498634044,-0.364030426786039,-1.22174081886592,-0.88849527906422,0.100579947551856,-0.372651096279067
Feb 2014,-0.512461313909374,-0.650106930977725,-0.599888272083629,-0.682554593744259,-0.912008419735343,-0.685996430909187,-0.154676025706158,0.0071652979391516
